id,question,context,response,views,student_id,scroll_ups
59,"In one word, how does this text make you feel?",This is an ad.,Sad,[2.319],15,0
60,"In three words or fewer, what is this text about?",This is an ad.,Miscarriage,[2.945],15,0
61,Have you encountered this text before?,This is an ad.,No,[],15,0
62,"In one word, how does this text make you feel?",This is actually a short story.,Sad,[1.121],15,0
63,"In three words or fewer, what is this text about?",This is actually a short story.,Miscarriage,[],15,0
64,Have you encountered this text before?,This is actually a short story.,Yes,[],15,0
65,"In one word, how does this text make you feel?",This is an ad.,Targeted,"[3.194,3.101]",16,0
66,"In three words or fewer, what is this text about?",This is an ad.,New baby shoes,[],16,0
67,Have you encountered this text before?,This is an ad.,Yes,[],16,0
68,"In one word, how does this text make you feel?",This is actually a short story.,Enticed,[1.073],16,0
69,"In three words or fewer, what is this text about?",This is actually a short story.,Baby shoes,[],16,0
70,Have you encountered this text before?,This is actually a short story.,Yes,[],16,0
71,"In one word, how does this text make you feel?",This is an ad.,Confused,"[2.8,1.174,1.021,0.414,1.817]",17,0
72,"In three words or fewer, what is this text about?",This is an ad.,Baby shoes,[3.807],17,0
73,Have you encountered this text before?,This is an ad.,No,[],17,0
74,"In one word, how does this text make you feel?",This is actually a short story.,Ok,[1.149],17,0
75,"In three words or fewer, what is this text about?",This is actually a short story.,S,[],17,0
76,Have you encountered this text before?,This is actually a short story.,Yes,[],17,0
77,"In one word, how does this text make you feel?",This is an ad.,Bored,[2.426],18,0
78,"In three words or fewer, what is this text about?",This is an ad.,Something for sale,[],18,0
79,Have you encountered this text before?,This is an ad.,No,[],18,0
80,"In one word, how does this text make you feel?",This is actually a short story.,Sad,[3.532],18,0
81,"In three words or fewer, what is this text about?",This is actually a short story.,Miscarriage,[],18,0
82,Have you encountered this text before?,This is actually a short story.,Yes,[],18,0
83,"In one word, how does this text make you feel?",This is an ad.,Informed,"[2.514,4.221]",19,0
84,"In three words or fewer, what is this text about?",This is an ad.,Selling baby shoes,[],19,0
85,Have you encountered this text before?,This is an ad.,No,[],19,0
86,"In one word, how does this text make you feel?",This is actually a short story.,Inyrigu,[2.375],19,0
87,"In three words or fewer, what is this text about?",This is actually a short story.,Unworn baby shoes,[0.966],19,0
88,Have you encountered this text before?,This is actually a short story.,Yes,[],19,0
89,"In one word, how does this text make you feel?",This is an ad.,Annoyed,[0.542],20,0
90,"In three words or fewer, what is this text about?",This is an ad.,Advertisement,[],20,0
91,Have you encountered this text before?,This is an ad.,No,[],20,0
